Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Invalid search,Chrome 128.0.0.0,,,02-09-2024 23:00:30,02-09-2024 23:27:59,27m - 29.168s,FAILED
,,,,,,,
Test Cases/Searching/Search Product Empty,Chrome 128.0.0.0,,,02-09-2024 23:00:30,02-09-2024 23:00:37,6.241s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,02-09-2024 23:00:30,02-09-2024 23:00:33,2.955s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 128.0.0.0,,,02-09-2024 23:00:33,02-09-2024 23:00:35,1.925s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input__searchProducts""))",Chrome 128.0.0.0,,,02-09-2024 23:00:35,02-09-2024 23:00:36,0.601s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/li_Please enter a keyword to search for, th_53394b""))",Chrome 128.0.0.0,,,02-09-2024 23:00:36,02-09-2024 23:00:36,0.276s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_JPetStore Demo/li_Please enter a keyword to search for, th_53394b""))",Chrome 128.0.0.0,,,02-09-2024 23:00:36,02-09-2024 23:00:36,0.282s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,02-09-2024 23:00:36,02-09-2024 23:00:36,0.086s,PASSED
,,,,,,,
Test Cases/Searching/Search Product Typo,Chrome 128.0.0.0,,,02-09-2024 23:02:32,02-09-2024 23:03:12,39.986s,FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,02-09-2024 23:02:32,02-09-2024 23:02:33,0.925s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 128.0.0.0,,,02-09-2024 23:02:33,02-09-2024 23:02:34,1.375s,PASSED
"setText(findTestObject(""Object Repository/Page_JPetStore Demo/input__keyword""), ""doug"")",Chrome 128.0.0.0,,,02-09-2024 23:02:34,02-09-2024 23:02:38,3.315s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_JPetStore Demo/input__keyword""), Keys.chord(ENTER))",Chrome 128.0.0.0,,,02-09-2024 23:02:38,02-09-2024 23:02:40,2.162s,PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Page_JPetStore Demo/div_Product IDName""), 0)",Chrome 128.0.0.0,,,02-09-2024 23:02:40,02-09-2024 23:03:12,32.184s,FAILED
,,,,,,,
Test Cases/Searching/Search Product Incomplete,Chrome 128.0.0.0,,,02-09-2024 23:03:12,02-09-2024 23:03:22,9.614s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,02-09-2024 23:03:12,02-09-2024 23:03:13,0.877s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action"")",Chrome 128.0.0.0,,,02-09-2024 23:03:13,02-09-2024 23:03:14,1.394s,PASSED
"setText(findTestObject(""Object Repository/Page_JPetStore Demo/input__keyword""), ""poo"")",Chrome 128.0.0.0,,,02-09-2024 23:03:14,02-09-2024 23:03:18,3.325s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input__searchProducts""))",Chrome 128.0.0.0,,,02-09-2024 23:03:18,02-09-2024 23:03:20,2.608s,PASSED
